# ma sinh vien; ma mon hoc; diem
SV01562;009;6.63
SV00047;004;4.13
SV01294;008;4.70
SV01423;016;5.64
SV01827;016;6.85
SV00145;007;8.94
SV01163;005;7.24
SV01675;011;9.79
SV00634;016;8.32
SV01320;018;8.28
SV00143;005;8.82
SV01528;001;8.87
SV00571;006;7.36
SV00742;007;4.10
SV02005;016;9.19
SV01607;007;9.48
SV01424;009;8.92
SV02008;011;7.17
SV00985;006;7.34
SV00420;003;8.05
SV02116;006;7.07
SV01018;011;5.86
SV00481;009;5.29
SV01970;002;4.01
SV00593;008;7.42
SV00584;001;6.19
SV00085;009;4.11
SV00509;015;7.51
SV00584;011;4.51
SV01499;001;6.46
SV02040;004;6.78
SV00329;007;7.54
SV01602;009;8.31
SV00181;010;5.86
SV00578;011;4.71
SV02028;005;4.84
SV02051;004;5.70
SV01871;003;7.19
SV00819;008;9.24
SV00106;018;6.56
SV00323;005;6.65
SV01712;018;6.53
SV00652;018;5.02
SV00010;008;7.37
SV00886;017;9.22
SV00608;016;9.62
SV01934;004;7.57
SV00357;001;4.41
SV01601;005;5.43
SV01522;003;6.20
SV01925;011;4.98
SV00204;010;9.96
SV00990;017;4.41
SV00932;006;6.02
SV00326;005;5.30
SV00193;009;9.99
SV01477;010;8.93
SV01008;005;5.50
SV01024;011;8.74
SV02093;014;5.94
SV02059;008;4.75
SV00795;010;8.26
SV01211;009;9.39
SV00020;004;5.08
SV00694;005;9.56
SV00759;005;6.41
SV00376;010;6.95
SV00121;015;9.02
SV01387;001;7.31
SV00671;004;8.22
SV00927;001;9.47
SV00583;004;5.19
SV01971;018;9.33
SV02029;016;5.39
SV01683;008;8.10
SV01024;003;4.54
SV01724;014;6.00
SV01871;006;7.32
SV01082;011;6.80
SV00704;007;4.87
SV02088;001;8.46
SV00508;010;9.61
SV02049;016;5.65
SV00701;004;8.36
SV00236;008;4.38
SV02036;004;5.84
SV00267;007;8.74
SV01605;005;6.72
SV00404;003;9.90
SV01838;005;8.79
SV01081;016;5.56
SV01799;018;8.37
SV01646;003;7.69
SV00368;016;7.63
SV00964;014;7.13
SV00093;005;7.65
SV01110;013;5.37
SV00911;007;4.98
SV00930;008;6.86
SV01129;006;9.32
SV00733;008;4.61
SV00615;015;9.78
SV02114;017;6.51
SV00228;011;7.71
SV01047;017;8.93
SV01945;016;6.78
SV00043;018;6.06
SV01691;014;7.60
SV01847;003;4.97
SV01302;017;8.41
SV00756;005;8.65
SV01520;006;8.84
SV01643;014;9.15
SV00870;011;4.89
SV01255;013;6.11
SV01209;018;5.19
SV01504;007;9.43
SV00768;018;5.37
SV00390;007;5.61
SV00638;004;6.83
SV01139;007;9.18
SV00683;013;7.86
SV01680;007;5.72
SV00449;017;6.00
SV01171;002;6.18
SV00938;010;8.30
SV01221;007;5.21
SV01822;003;4.80
SV00730;004;8.65
SV00547;004;6.33
SV02119;006;6.73
SV00604;010;9.63
SV01917;003;5.36
SV01313;014;9.54
SV01547;011;9.80
SV01936;008;4.91
SV00535;015;8.92
SV01984;011;4.02
SV01523;001;7.01
SV01578;017;9.18
SV00170;015;8.47
SV01760;005;7.97
SV00778;008;7.62
SV00269;017;7.85
SV00900;007;6.36
SV01029;014;5.17
SV01384;004;4.76
SV01195;016;5.78
SV00777;002;8.67
SV00061;007;8.21
SV00079;006;5.20
SV01023;014;6.51
SV01824;005;5.10
SV00943;007;5.25
SV00510;003;7.70
SV01222;017;6.55
SV01408;002;8.02
SV01935;006;8.42
SV01494;016;9.07
SV00988;017;4.63
SV01656;015;5.10
SV00244;005;7.22
SV00075;007;5.08
SV00299;008;8.88
SV00954;004;9.16
SV00178;006;7.29
SV00136;001;4.33
SV00417;010;7.37
SV01251;015;8.42
SV01571;004;7.32
SV00523;010;7.52
SV01280;004;5.77
SV01989;006;6.26
SV00390;011;9.39
SV00268;014;8.77
SV01925;004;9.53
SV01544;003;4.95
SV00457;007;4.94
SV01421;011;7.23
SV00150;004;9.70
SV00005;003;9.11
SV00212;004;5.03
SV01035;006;9.90
SV00294;018;8.44
SV00740;011;4.22
SV00581;014;6.24
SV00412;009;4.62
SV00296;010;8.14
SV01244;005;7.91
SV01667;011;6.19
SV01112;001;4.50
SV00281;008;7.75
SV01298;007;9.65
SV00451;005;8.37
SV01969;006;4.39
SV02069;004;9.55
SV01866;007;5.37
SV00449;004;9.62
SV00823;001;5.07
SV01883;003;5.02
SV01109;009;9.37
SV00564;006;4.06
SV00615;007;7.61
SV00845;003;9.74
SV01975;008;5.99
SV01148;016;7.21
SV00768;004;6.63
SV01066;018;4.77
SV01377;015;4.11
SV00752;006;9.74
SV01525;007;5.26
SV00406;017;9.82
SV01517;001;9.65
SV01120;007;9.37
SV02138;008;9.52
SV01324;014;7.81
SV01812;009;6.76
SV02066;005;7.67
SV00821;004;9.58
SV01605;008;9.89
SV01251;005;6.03
SV01493;004;9.47
SV01626;006;8.09
SV01088;005;7.27
SV01266;009;8.71
SV00393;004;5.00
SV01050;006;8.61
SV01634;005;7.07
SV00772;003;8.60
SV00863;017;7.16
SV00852;004;4.40
SV00145;006;6.60
SV01361;009;5.01
SV01651;016;9.31
SV00262;013;9.23
SV01702;002;7.89
SV00652;017;9.26
SV01860;003;8.94
SV00136;003;6.41
SV01420;003;9.72
SV00877;003;9.50
SV01042;003;4.21
SV00693;006;6.65
SV01192;008;8.23
SV01411;006;8.91
SV00869;006;4.93
SV01800;004;6.06
SV01473;013;5.38
SV00822;004;4.56
SV00388;013;8.97
SV02037;004;9.14
SV01868;004;9.23
SV00816;005;8.99
SV01410;003;4.19
SV00722;003;7.23
SV00410;001;7.97
SV02104;015;8.21
SV01621;004;8.70
SV01581;008;6.63
SV01104;009;5.27
SV02146;016;9.87
SV00655;003;8.98
SV01916;005;5.37
SV01192;018;4.09
SV00879;015;5.61
SV00388;015;6.52
SV01882;007;6.90
SV01112;003;8.62
SV00542;007;6.60
SV01806;004;8.86
SV00357;003;4.90
SV01889;006;6.23
SV00547;013;6.98
SV01533;004;7.59
SV00581;003;8.32
SV00362;011;6.70
SV00506;006;9.19
SV00633;011;8.82
SV00229;014;8.53
SV00016;004;7.47
SV00819;016;4.58
SV00329;009;6.93
SV00911;008;9.76
SV00580;008;8.22
SV01954;011;7.64
SV00928;007;7.79
SV00573;009;7.04
SV01063;001;5.54
SV01225;006;4.55
SV01611;004;5.96
SV00173;004;9.30
SV01184;013;6.37
SV00387;002;4.61
SV00091;004;8.95
SV00256;018;4.68
SV00181;003;8.04
SV01965;003;4.06
SV01425;013;6.98
SV02150;004;8.58
SV01614;004;7.37
SV02111;018;7.56
SV01092;017;6.39
SV00091;007;4.05
SV01487;007;7.06
SV02004;003;4.01
SV01117;006;8.51
SV01893;001;7.14
SV01989;005;7.72
SV00391;010;5.75
SV00572;007;9.50
SV01975;005;5.14
SV00980;001;6.21
SV00237;005;6.33
SV01246;010;9.48
SV00125;015;6.82
SV00723;017;8.89
SV00449;003;8.18
SV01712;014;7.33
SV02037;002;8.05
SV00702;011;7.39
SV01182;006;9.67
SV00948;001;8.68
SV01282;008;7.75
SV00765;004;6.57
SV01952;011;4.75
SV00311;008;7.52
SV00732;009;7.44
SV01721;004;9.43
SV00464;007;9.65
SV00456;006;5.38
SV01357;005;8.38
SV00342;004;6.89
SV00239;004;8.30
SV00941;010;8.48
SV00197;004;7.17
SV02137;009;8.88
SV00572;006;6.97
SV00691;004;7.51
SV00587;006;8.22
SV00556;017;7.08
SV02150;007;9.48
SV00356;007;8.78
SV01589;015;7.41
SV01649;004;7.11
SV01645;006;6.66
SV01209;004;9.27
SV00225;016;5.23
SV00317;008;8.75
SV00658;005;9.80
SV00927;009;4.76
SV01492;016;7.06
SV00920;006;9.87
SV01464;003;4.28
SV00624;009;5.79
SV01159;003;7.47
SV01516;013;9.47
SV01024;008;9.11
SV00594;006;8.27
SV00912;017;6.26
SV01669;003;8.77
SV00894;002;5.48
SV00897;007;4.82
SV01675;006;8.84
SV01736;013;4.40
SV01202;018;9.63
SV00584;008;9.39
SV00136;004;9.38
SV00879;018;6.97
SV00714;004;9.25
SV01079;010;7.33
SV02051;003;6.53
SV01533;003;7.99
SV00362;001;9.17
SV00586;001;6.98
SV01382;001;5.00
SV00846;004;9.56
SV01871;010;4.11
SV01176;005;7.65
SV01149;001;5.41
SV01377;006;8.66
SV00696;003;6.06
SV00190;010;8.96
SV01518;018;7.31
SV00075;008;5.69
SV00151;010;7.63
SV01705;001;7.24
SV00600;007;8.51
SV01906;004;6.19
SV00844;006;7.08
SV01117;011;6.91
SV01015;016;5.02
SV01254;006;9.84
SV01824;004;9.02
SV02154;007;6.23
SV00587;007;6.83
SV02005;003;9.19
SV01918;011;9.19
SV01194;008;9.31
SV00920;015;8.42
SV00370;006;8.34
SV01798;007;6.65
SV00456;003;7.38
SV01364;007;7.69
SV00671;006;8.87
SV01894;016;5.34
SV01237;018;7.14
SV00026;016;7.09
SV00759;001;9.52
SV01932;007;6.15
SV00292;014;6.38
SV00002;017;9.02
SV00451;006;4.97
SV00677;003;7.20
SV00633;003;5.90
SV01320;005;7.17
SV00561;006;4.54
SV00892;004;6.90
SV01494;014;6.16
SV01132;001;5.32
SV00571;018;5.27
SV00954;005;4.32
SV01575;008;9.75
SV00383;005;8.17
SV00459;014;8.86
SV00868;004;5.83
SV00928;008;4.60
SV00913;003;4.34
SV00990;008;8.65
SV00144;009;8.00
SV00294;014;5.95
SV00403;006;7.10
SV00150;009;5.89
SV01849;004;7.48
SV02049;006;8.23
SV01394;007;7.05
SV01687;008;8.58
SV00717;006;4.39
SV01861;009;8.88
SV01933;009;9.32
SV00387;005;9.69
SV01324;005;7.60
SV01688;013;5.58
SV00063;002;9.57
SV00619;007;8.62
SV00759;011;5.06
SV01654;007;5.75
SV00689;009;6.46
SV00966;003;5.52
SV01905;002;5.64
SV02140;016;5.43
SV01652;008;6.72
SV00485;010;4.22
SV01420;009;8.34
SV01241;014;4.89
SV01234;006;4.69
SV01646;017;5.11
SV01421;002;9.86
SV00770;014;5.02
SV00909;003;6.67
SV02088;005;9.46
SV01777;001;7.23
SV01805;003;4.83
SV01108;003;7.80
SV01008;010;5.70
SV02030;004;9.37
SV02016;001;7.68
SV00225;008;9.93
SV02051;006;7.75
SV00271;016;7.74
SV01613;008;6.19
SV01935;004;6.05
SV01265;006;8.81
SV01196;006;6.00
SV01632;006;8.39
SV00978;004;7.77
SV01255;018;9.35
SV00657;011;9.44
SV00451;009;7.97
SV01423;007;9.73
SV01602;001;4.35
SV01329;011;4.18
SV00199;001;5.23
SV00392;008;7.87
SV00179;001;9.17
SV00117;016;7.18
SV00424;013;8.06
SV01626;004;6.05
SV00980;011;8.51
SV01796;017;9.88
SV01930;003;6.49
SV02132;007;6.15
SV00527;004;8.89
SV00496;013;9.68
SV01072;006;7.36
SV01162;006;8.34
SV00977;018;5.79
SV00003;015;6.17
SV01805;005;5.70
SV01406;013;4.87
SV00877;011;6.58
SV01785;005;5.38
SV00136;008;4.42
SV01274;011;7.12
SV00648;017;5.40
SV02013;008;4.26
SV01059;004;8.55
SV00200;015;8.01
SV00923;001;7.48
SV00492;005;8.69
SV02082;006;4.10
SV00304;005;8.39
SV00359;005;5.89
SV01458;017;9.78
SV02111;014;5.73
SV00357;005;8.80
SV01537;008;6.17
SV00570;017;9.37
SV01965;018;6.66
SV01241;007;9.53
SV00499;004;7.36
SV00751;009;4.92
SV00912;008;8.65
SV00759;002;9.29
SV01894;008;8.25
SV01650;005;4.31
SV00256;015;6.60
SV02066;003;8.58
SV01606;004;8.72
SV01412;017;8.04
SV01653;008;8.61
SV01792;004;8.44
SV00203;004;9.74
SV00518;018;4.65
SV00696;006;5.24
SV00963;015;7.45
SV00340;018;9.33
SV01840;016;7.05
SV00761;005;9.87
SV01600;017;6.56
SV01911;001;5.91
SV02140;014;7.97
SV00751;006;8.54
SV01601;011;5.97
SV01042;001;9.75
SV00621;015;6.26
SV02044;004;5.61
SV01935;003;5.19
SV02059;004;8.25
SV01553;014;9.90
SV01131;015;6.52
SV00453;007;4.47
SV01936;003;5.52
SV01609;004;7.46
SV01022;003;4.44
SV00485;006;9.67
SV00484;014;8.47
SV00042;003;7.07
SV01202;006;8.62
SV00459;008;8.22
SV01359;018;4.20
SV00521;010;6.72
SV01660;014;5.97
SV00113;005;7.27
SV01941;003;7.37
SV00393;008;9.81
SV01311;007;7.17
SV00436;011;7.13
SV00357;007;4.39
SV01142;018;6.71
SV00660;004;6.72
SV00945;007;7.05
SV00034;005;6.54
SV00780;006;6.57
SV01237;015;8.99
SV01798;010;7.77
SV01746;018;6.92
SV00128;008;6.82
SV01840;018;5.25
SV02117;009;6.92
SV01352;007;6.64
SV00954;006;9.09
SV02106;007;6.92
SV02036;014;6.77
SV00454;006;4.96
SV00410;009;8.02
SV01828;013;8.69
SV00633;008;9.52
SV01888;007;5.03
SV00736;014;7.54
SV00904;018;9.56
SV00916;014;7.59
SV01916;006;8.88
SV00928;004;8.32
SV00525;007;6.93
SV00352;003;9.02
SV01186;013;6.03
SV01771;017;5.99
SV01373;001;4.06
SV00544;005;5.31
SV01067;004;4.84
SV02080;008;8.81
SV00846;001;6.08
SV00511;005;5.54
SV00128;017;8.64
SV00212;015;5.78
SV01156;003;5.91
SV02004;004;7.37
SV02080;005;8.10
SV00613;005;9.61
SV00323;004;6.25
SV01723;016;9.58
SV01650;004;8.63
SV00817;007;8.02
SV01451;017;4.37
SV00300;001;4.86
SV01257;010;9.63
SV00624;011;7.91
SV00505;011;5.22
SV01847;004;8.27
SV01101;003;9.42
SV00029;006;5.64
SV00825;008;8.64
SV01461;017;5.42
SV01798;008;5.04
SV00736;015;8.48
SV00031;007;6.71
SV01692;007;5.73
SV00128;015;6.52
SV01008;011;9.98
SV01651;017;4.75
SV01302;016;4.75
SV00143;009;4.84
SV01892;003;8.97
SV00787;014;6.55
SV00520;006;4.22
SV01003;017;7.43
SV01574;008;4.33
SV01528;008;6.08
SV01345;007;7.20
SV00972;016;8.17
SV01500;001;5.11
SV01280;009;8.48
SV01894;003;6.45
SV01686;008;8.42
SV02072;015;9.95
SV00228;001;8.35
SV01492;017;7.52
SV00344;017;7.44
SV00015;005;9.12
SV01760;004;4.69
SV00134;010;5.35
SV00219;015;6.34
SV01976;005;8.88
SV01578;013;9.78
SV00531;017;4.45
SV01998;007;4.27
SV01782;018;4.03
SV00392;001;6.97
SV01576;011;4.15
SV00613;006;8.36
SV01601;006;4.03
SV01841;004;7.43
SV01416;016;7.02
SV00784;007;5.78
SV01862;007;7.10
SV00456;007;9.54
SV00180;007;6.61
SV00229;005;9.43
SV01930;005;4.76
SV00945;006;6.23
SV01223;007;8.75
SV00418;016;4.08
SV01172;004;8.17
SV00123;004;5.72
SV01631;017;8.50
SV02002;006;6.75
SV01526;001;9.45
SV01877;006;6.96
SV00817;001;8.40
SV00787;013;6.24
SV00145;017;6.52
SV01269;003;4.48
SV01328;004;7.51
SV01718;015;7.47
SV01431;015;8.55
SV00685;006;9.74
SV01911;004;5.14
SV01846;008;5.94
SV01665;014;8.09
SV01329;008;5.44
SV01192;013;6.66
SV00225;014;7.22
SV00515;011;6.06
SV00934;007;8.40
SV02097;007;5.52
SV01082;006;9.59
SV01064;006;7.96
SV01578;007;4.94
SV00168;004;9.09
SV01266;007;4.25
SV00434;008;9.87
SV01865;005;8.88
SV01092;004;9.49
SV00917;008;8.30
SV00111;009;9.27
SV01348;006;6.73
SV02080;002;5.99
SV01533;006;7.58
SV00511;017;7.21
SV01570;011;9.40
SV00817;003;8.82
SV00457;009;6.64
SV01851;005;8.44
SV01970;010;4.09
SV00271;006;4.37
SV00842;004;8.26
SV01841;002;9.87
SV00619;014;9.83
SV01942;005;8.97
SV00410;002;6.06
SV00732;006;4.87
SV00135;004;8.95
SV00460;006;7.30
SV01121;017;5.54
SV01907;003;6.61
SV00279;004;6.38
SV01289;007;5.09
SV01421;008;8.03
SV00237;014;6.98
SV01525;006;4.68
SV01214;004;6.97
SV01595;005;8.65
SV01989;009;5.31
SV00418;018;4.12
SV01064;001;5.92
SV00034;007;9.51
SV01649;005;9.40
SV01311;013;6.90
SV01603;002;8.44
SV01776;002;4.78
SV01944;006;8.15
SV01676;011;4.36
SV01457;001;9.22
SV00112;007;9.79
SV01486;018;4.10
SV00931;008;7.52
SV00811;007;6.53
SV00604;009;7.17
SV02159;003;9.35
SV02067;006;9.71
SV01783;008;4.27
SV00968;003;4.39
SV01909;004;5.02
SV02025;013;9.06
SV00236;015;8.04
SV01510;008;4.46
SV01710;003;9.89
SV01133;013;7.62
SV00236;006;5.61
SV00179;006;9.42
SV01854;018;9.01
SV00461;006;8.43
SV01547;005;5.75
SV00925;017;7.37
SV00710;015;7.25
SV00895;002;4.93
SV01135;006;8.91
SV01179;002;8.98
SV01119;004;5.38
SV00844;004;9.98
SV00756;009;7.53
SV00527;010;4.07
SV00508;005;4.97
SV00765;001;8.44
SV01386;016;8.70
SV01114;004;9.06
SV00904;015;5.08
SV01255;008;5.97
SV00702;002;5.11
SV00161;001;4.81
SV00325;007;6.45
SV01993;008;4.91
SV01493;014;6.59
SV00710;003;6.11
SV01257;009;8.80
SV00600;002;8.08
SV01186;007;4.18
SV01060;011;6.90
SV01194;017;4.31
SV00897;017;6.73
SV00860;010;9.97
SV00155;007;9.89
SV01368;008;7.77
SV00176;004;6.53
SV00824;007;6.96
SV00312;014;7.01
SV00489;002;6.24
SV01098;006;5.62
SV00522;002;7.11
SV00461;008;4.75
SV00727;016;4.96
SV01932;011;6.21
SV00166;015;8.12
SV01298;013;4.14
SV01385;006;9.81
SV01836;013;8.34
SV01182;005;8.33
SV01183;001;4.91
SV00739;010;8.42
SV01334;015;9.19
SV01201;011;5.73
SV00268;007;9.63
SV00071;003;8.32
SV01026;011;4.95
SV02056;016;7.30
SV01223;018;7.02
SV00063;001;6.75
SV00739;007;9.87
SV02153;005;7.40
SV01918;008;7.66
SV01041;005;6.47
SV01972;001;9.29
SV00470;001;9.18
SV02037;005;8.18
SV00208;005;4.56
SV00113;017;8.02
SV01189;015;5.03
SV00414;009;9.65
SV02137;002;8.07
SV00050;008;9.86
SV00692;005;6.34
SV00954;003;9.16
SV00622;013;6.77
SV01289;003;4.19
SV00037;010;8.76
SV01634;014;4.62
SV00322;005;9.56
SV00182;006;9.08
SV01317;013;9.87
SV00216;009;9.92
SV01227;005;6.43
SV01451;005;7.07
SV00203;003;9.32
SV01933;005;6.83
SV01637;004;9.89
SV00431;013;7.37
SV01980;008;5.23
SV00034;010;5.40
SV01466;001;6.64
SV01183;002;5.92
SV01708;006;4.95
SV00796;007;8.44
SV00925;005;6.70
SV00523;004;7.51
SV00256;004;9.75
SV01145;006;5.21
SV00696;016;5.79
SV00566;004;5.91
SV01529;007;4.72
SV00894;008;4.84
SV01133;004;7.88
SV01265;005;7.85
SV00322;006;8.98
SV00396;004;9.63
SV01684;011;8.19
SV01845;014;6.16
SV01603;001;6.59
SV01381;004;6.95
SV01026;010;7.20
SV01405;016;8.33
SV01407;002;4.27
SV01259;011;8.60
SV00389;011;6.92
SV01683;003;9.32
SV00586;004;6.37
SV01934;007;7.90
SV02013;006;7.10
SV00127;009;4.51
SV00683;005;5.76
SV00571;003;6.98
SV02115;018;9.07
SV01407;010;5.88
SV00203;013;4.99
SV00685;005;6.01
SV01486;004;6.98
SV02139;004;4.07
SV01347;005;6.70
SV00131;015;4.54
SV00196;005;6.55
SV01845;018;8.21
SV00134;002;9.12
SV01194;014;4.29
SV01559;010;9.17
SV00162;004;5.49
SV00733;013;8.42
SV01038;001;7.96
SV01181;005;6.63
SV00456;011;4.86
SV00008;002;6.39
SV00324;008;7.95
SV01195;007;6.39
SV00879;007;6.91
SV01503;006;7.03
SV01909;002;8.66
SV01844;004;6.55
SV00866;009;6.84
SV00123;018;5.33
SV01430;001;4.40
SV00180;010;8.43
SV01836;015;9.19
SV01046;003;8.63
SV01145;005;8.47
SV01445;009;7.84
SV00378;014;4.67
SV00358;007;7.93
SV01624;004;4.07
SV01930;014;5.00
SV00527;001;7.83
SV00814;008;6.95
SV00886;018;8.77
SV01594;006;9.71
SV00669;014;5.82
SV00473;015;6.88
SV01035;005;6.05
SV01953;005;8.13
SV01548;005;5.77
SV00311;011;4.40
SV00009;007;4.40
SV01561;014;6.76
SV02103;010;5.62
SV02119;008;4.66
SV01477;007;5.90
SV00928;014;4.99
SV01669;016;7.81
SV01686;004;9.65
SV00506;007;6.17
SV01642;003;6.74
SV00600;003;6.56
SV01820;007;8.74
SV00015;008;9.38
SV01111;003;9.03
SV00543;004;8.78
SV01348;003;6.20
SV01471;001;7.93
SV00324;001;5.55
SV01595;003;5.47
SV01165;006;5.03
SV01665;016;9.70
SV01706;010;6.97
SV00660;007;9.68
SV01355;006;5.43
SV00515;003;4.34
SV01827;005;5.42
SV01324;016;8.47
SV00626;006;5.76
SV01138;001;9.84
SV01244;016;4.01
SV00129;006;6.31
SV02065;001;5.47
SV00484;008;9.39
SV00701;011;6.08
SV01093;001;7.15
SV01038;002;9.31
SV02044;014;4.59
SV01731;005;8.75
SV00479;002;5.73
SV00560;004;4.43
SV00107;007;9.25
SV01347;011;5.96
SV01466;003;6.09
SV01107;001;7.52
SV00786;010;8.11
SV00622;005;7.71
SV00672;002;7.92
SV01806;003;4.34
SV00895;004;9.67
SV00925;007;7.48
SV01750;004;9.38
SV00459;003;4.69
SV01905;007;9.62
SV01821;015;9.50
SV01031;006;9.09
SV01102;010;6.64
SV00409;013;7.60
SV01225;010;4.85
SV00340;016;6.71
SV00189;001;6.54
SV01746;008;6.53
SV01810;006;8.10
SV01605;013;7.32
SV00920;007;9.36
SV00005;001;6.95
SV01025;003;5.11
SV00490;017;8.00
SV00125;018;9.37
SV00860;005;5.88
SV00957;003;7.10
SV00262;005;5.20
SV01574;003;7.52
SV02138;004;5.04
SV01471;004;4.14
SV01012;007;4.23
SV01085;002;5.82
SV01989;004;6.22
SV01194;005;4.14
SV01492;007;8.75
SV01077;015;9.84
SV00383;017;9.18
SV02027;005;8.26
SV00954;002;5.91
SV00054;006;7.91
SV01790;007;7.16
SV01765;010;5.15
SV00457;005;9.10
SV01384;006;9.37
SV01559;007;6.33
SV01890;002;9.26
SV01563;005;9.29
SV01767;004;8.46
SV01410;015;7.61
SV00368;014;4.89
SV02163;016;4.52
SV01018;002;4.15
SV02070;016;6.73
SV00913;001;5.58
SV01611;002;4.50
SV00121;018;5.91
SV01451;003;7.49
SV01687;003;9.79
SV00464;010;6.40
SV02117;008;9.85
SV00113;006;8.54
SV00038;002;5.76
SV01668;008;6.05
SV00720;001;8.14
SV00239;006;8.85
SV02138;001;5.61
SV00335;011;4.82
SV00312;017;7.94
SV01660;006;5.84
SV00161;010;6.90
SV01932;002;9.94
SV00149;008;4.21
SV00968;006;6.27
SV00020;018;7.95
SV01135;007;6.47
SV01861;006;8.24
SV01027;004;9.24
SV01495;011;7.15
SV01706;004;9.39
SV00758;004;6.50
SV00093;010;4.19
SV01676;007;5.26
SV02029;018;6.59
SV02140;018;4.02
SV01727;001;9.05
SV01845;013;6.42
SV00247;003;7.34
SV00197;015;4.84
SV01736;017;7.97
SV01684;002;5.58
SV00166;017;8.66
SV00923;005;8.94
SV01577;010;7.73
SV00785;016;7.47
SV01176;014;9.53
SV00905;017;6.34
SV01257;003;6.88
SV01415;011;9.26
SV00599;008;9.41
SV01181;018;8.57
SV01675;005;8.64
SV02054;010;9.15
SV01386;018;6.26
SV01174;008;7.54
SV01499;006;9.54
SV00985;004;5.68
SV01871;009;9.16
SV01721;018;5.67
SV00406;015;9.20
SV01353;007;9.73
SV00423;005;6.03
SV00492;017;8.46
SV00633;005;6.52
SV01945;005;9.47
SV00816;017;9.63
SV00931;007;8.28
SV00768;015;7.34
SV01535;003;9.58
SV01546;004;7.90
SV00559;002;5.45
SV01710;001;8.35
SV01759;008;7.43
SV00233;006;4.29
SV01626;009;6.33
SV00163;015;9.44
SV00044;014;7.39
SV01861;008;9.50
SV00329;004;7.79
SV01531;009;4.79
SV00324;002;6.20
SV02058;006;6.50
SV00750;010;8.41
SV01674;004;5.62
SV01468;004;9.14
SV00090;018;5.95
SV00980;006;6.61
SV00593;018;8.56
SV00097;013;8.03
SV01847;013;5.69
SV01497;008;4.04
SV00013;011;8.07
SV01647;004;6.78
SV02097;004;9.89
SV00639;015;9.01
SV00108;014;5.88
SV02167;017;9.09
SV01706;006;7.33
SV00336;005;9.15
SV00198;017;7.37
SV01320;014;5.59
SV01950;004;8.11
SV00823;011;4.79
SV02075;017;8.68
SV01473;014;8.87
SV01378;009;6.16
SV01758;007;9.64
SV01341;014;7.21
SV01718;008;7.01
SV00719;001;9.47
SV01547;008;5.93
SV01059;015;8.74
SV01165;011;8.40
SV01536;003;7.04
SV00987;009;4.12
SV02055;008;9.50
SV01660;015;9.62
SV00151;011;8.24
SV01764;009;8.05
SV00157;007;7.24
SV01353;006;7.49
SV00613;004;6.42
SV00645;006;4.84
SV02009;006;6.74
SV00525;016;4.48
SV00676;008;7.64
SV01297;010;6.40
SV01510;015;7.04
SV01607;004;5.37
SV00165;008;4.64
SV01457;011;4.77
SV00778;007;5.06
SV01080;008;4.67
SV00144;007;8.75
SV00452;014;5.30
SV01093;008;6.08
SV01710;010;8.14
SV00056;008;4.68
SV00676;004;5.31
SV00763;013;9.47
SV00618;008;5.69
SV00589;002;5.49
SV00537;001;7.89
SV02021;007;6.90
SV00875;016;7.59
SV01229;018;7.25
SV01965;014;6.91
SV01795;010;5.50
SV01736;006;4.23
SV01063;008;9.07
SV01665;003;4.70
SV01428;006;4.98
SV00850;002;9.27
SV01548;007;7.61
SV00459;017;9.36
SV00059;002;8.24
SV00282;015;5.20
SV00505;006;5.81
SV00006;018;6.80
SV00671;007;8.05
SV01962;003;6.23
SV01025;006;5.82
SV01070;003;7.14
SV00638;006;8.22
SV00498;002;5.96
SV00852;011;7.48
SV00875;015;6.74
SV01652;002;9.34
SV00863;004;5.35
SV00369;018;7.66
SV02123;005;6.11
SV00278;001;6.92
SV01155;003;6.12
SV01663;003;5.85
SV00178;003;4.24
SV00180;006;6.31
SV01847;017;6.79
SV00120;007;7.92
SV01810;008;9.56
SV00740;007;9.91
SV02159;015;5.72
SV01394;016;6.81
SV00281;017;7.34
SV00873;003;6.39
SV00301;010;5.28
SV01778;005;6.44
SV00869;008;4.76
SV01243;006;5.43
SV00040;018;7.56
SV01529;005;5.69
SV01082;010;5.37
SV01241;013;8.13
SV00599;006;7.43
SV01485;004;9.04
SV01440;016;4.64
SV02091;006;9.01
SV01529;013;7.42
SV00952;005;5.80
SV00987;002;6.78
SV00721;015;4.79
SV01575;009;5.02
SV01889;001;9.49
SV01380;008;9.79
SV01211;005;8.30
SV00235;011;4.65
SV00912;016;7.05
SV00671;018;8.88
SV00566;001;9.05
SV01342;006;9.03
SV02067;016;5.42
SV00010;013;7.58
SV02119;004;9.22
SV01167;005;7.67
SV01176;008;9.65
SV00299;007;6.24
SV00534;006;6.82
SV01824;018;9.79
SV02016;002;8.70
SV00768;014;4.74
SV01403;003;4.36
SV01709;014;7.96
SV00842;009;5.18
SV01061;003;9.39
SV01391;006;4.04
SV00034;006;4.16
SV02091;010;9.78
SV01837;003;9.56
SV01918;009;9.30
SV01782;004;5.71
SV00822;014;5.64
SV00683;003;5.93
SV01070;017;4.05
SV01290;007;7.23
SV01138;010;8.33
SV00758;009;5.77
SV01605;014;7.28
SV00229;007;9.03
SV01595;010;8.14
SV00556;013;4.90
SV01337;007;4.50
SV02030;009;4.29
SV00468;006;4.49
SV01674;008;9.16
SV00199;002;8.86
SV01993;017;5.38
SV00015;013;4.79
SV01981;003;4.89
SV00358;013;6.31
SV00701;008;4.68
SV00678;001;7.93
